event_date,broker_account_id,asset_id,event_type,quantity,price_original,gross_amount_original,currency,fx_to_usd,gross_amount_usd,fees_original,source_file,notes
2021-02-03,iol_broker,AL30C,sell,1749.0,37.07,648.35,USD,1.0,648.35,9.24,OperacionesFinalizadas (3).xls,Boleto: 567815 | Mercado: BCBA | Bono Rep. Argentina Usd Step Up 2030
2021-02-04,iol_broker,AL30D,buy,1315.0,37.69,495.62,USD,1.0,495.62,7.06,OperacionesFinalizadas (3).xls,Boleto: 589288 | Mercado: BCBA | Bono Rep. Argentina Usd Step Up 2030
2021-02-04,iol_broker,-,deposit,0.0,0.0,500.0,USD,1.0,500.0,0.0,MovimientosHistoricos (1).xls,Mov ID: 7563431 | Dep&#243;sito de Fondos - Transferencia electr&#243;nica - Banco Industrial | Inversion Argentina Dolares
2021-02-08,iol_broker,SPY,buy,2.0,389.29,778.58,USD,1.0,778.58,6.05,OperacionesFinalizadas (3).xls,Boleto: 30045 | Mercado: NYSE | Spdr Trust Series 1 Etf (Nyse)
2021-02-08,iol_broker,AL30C,sell,1315.0,36.84,484.45,USD,1.0,484.45,6.93,OperacionesFinalizadas (3).xls,Boleto: 652618 | Mercado: BCBA | Bono Rep. Argentina Usd Step Up 2030
2021-02-25,iol_broker,AL30,buy,1930.0,5120.0,98816.0,ARS,0.006757,667.7,503.96,OperacionesFinalizadas (3).xls,Boleto: 909714 | Mercado: BCBA | Bono Rep. Argentina Usd Step Up 2030
2021-02-25,iol_broker,-,deposit,0.0,0.0,100000.0,ARS,0.006757,675.7,0.0,MovimientosHistoricos (1).xls,Mov ID: 7651594 | Dep&#243;sito de Fondos - Transferencia electr&#243;nica - Banco Industrial | Inversion Argentina Pesos
2021-03-01,iol_broker,-,interest,0.0,0.0,62.72,ARS,0.006757,0.42,0.0,MovimientosHistoricos (1).xls,Mov ID: 7744743 | Cr&#233;dito | Inversion Argentina Pesos
2021-03-02,iol_broker,SPY,buy,1.0,387.41,387.41,USD,1.0,387.41,6.05,OperacionesFinalizadas (3).xls,Boleto: 50635 | Mercado: NYSE | Spdr Trust Series 1 Etf (Nyse)
2021-03-02,iol_broker,AL30C,sell,1930.0,35.65,688.05,USD,1.0,688.05,9.96,OperacionesFinalizadas (3).xls,Boleto: 972862 | Mercado: BCBA | Bono Rep. Argentina Usd Step Up 2030
2021-03-02,iol_broker,AL30D,buy,1350.0,36.62,494.37,USD,1.0,494.37,7.15,OperacionesFinalizadas (3).xls,Boleto: 977038 | Mercado: BCBA | Bono Rep. Argentina Usd Step Up 2030
2021-03-02,iol_broker,-,deposit,0.0,0.0,500.0,USD,1.0,500.0,0.0,MovimientosHistoricos (1).xls,Mov ID: 7824680 | Dep&#243;sito de Fondos - Transferencia electr&#243;nica - Banco Industrial | Inversion Argentina Dolares
2021-03-05,iol_broker,SPY,buy,2.0,376.14,752.28,USD,1.0,752.28,6.05,OperacionesFinalizadas (3).xls,Boleto: 54302 | Mercado: NYSE | Spdr Trust Series 1 Etf (Nyse)
2021-03-05,iol_broker,AL30C,sell,1350.0,35.15,474.53,USD,1.0,474.53,6.88,OperacionesFinalizadas (3).xls,Boleto: 1041862 | Mercado: BCBA | Bono Rep. Argentina Usd Step Up 2030
2021-03-16,iol_broker,-,interest,0.0,0.0,2.47,USD,1.0,2.47,0.0,MovimientosHistoricos (1).xls,Mov ID: 7888680 | Cr&#233;dito | Inversion Argentina Dolares
2021-03-16,iol_broker,-,interest,0.0,0.0,148.48,ARS,0.006897,1.02,0.0,MovimientosHistoricos (1).xls,Mov ID: 7887908 | Cr&#233;dito | Inversion Argentina Pesos
2021-03-16,iol_broker,-,interest,0.0,0.0,3.44,USD,1.0,3.44,0.0,MovimientosHistoricos (1).xls,Mov ID: 7886465 | Cr&#233;dito | Inversion Estados Unidos Dolares
2021-03-30,iol_broker,-,deposit,0.0,0.0,100000.0,ARS,0.006897,689.7,0.0,MovimientosHistoricos (1).xls,Mov ID: 7940077 | Dep&#243;sito de Fondos - Transferencia electr&#243;nica - Banco Industrial | Inversion Argentina Pesos
2021-04-01,iol_broker,-,interest,0.0,0.0,0.01,USD,1.0,0.01,0.0,MovimientosHistoricos (1).xls,Mov ID: 8084879 | Cr&#233;dito | Inversion Argentina Dolares
2021-04-01,iol_broker,-,interest,0.0,0.0,229.21,ARS,0.006897,1.58,0.0,MovimientosHistoricos (1).xls,Mov ID: 8039182 | Cr&#233;dito | Inversion Argentina Pesos
2021-04-13,iol_broker,AL30,buy,1991.0,4964.0,98833.24,ARS,0.006897,681.65,504.05,OperacionesFinalizadas (3).xls,Boleto: 1489998 | Mercado: BCBA | Bono Rep. Argentina Usd Step Up 2030
2021-04-21,iol_broker,SPY,buy,1.0,413.71,413.71,USD,1.0,413.71,6.05,OperacionesFinalizadas (3).xls,Boleto: 81355 | Mercado: NYSE | Spdr Trust Series 1 Etf (Nyse)
2021-04-21,iol_broker,AL30C,sell,1991.0,32.5,647.08,USD,1.0,647.08,9.6,OperacionesFinalizadas (3).xls,Boleto: 1599828 | Mercado: BCBA | Bono Rep. Argentina Usd Step Up 2030
2021-05-01,iol_broker,-,interest,0.0,0.0,0.01,USD,1.0,0.01,0.0,MovimientosHistoricos (1).xls,Mov ID: 8353306 | Cr&#233;dito | Inversion Argentina Dolares
2021-05-01,iol_broker,-,interest,0.0,0.0,1112.01,ARS,0.006579,7.32,0.0,MovimientosHistoricos (1).xls,Mov ID: 8283572 | Cr&#233;dito | Inversion Argentina Pesos
2021-05-04,iol_broker,SPY,dividend,0.0,0.0,15.21,USD,1.0,15.21,0.13,MovimientosHistoricos (1).xls,Mov ID: 33057162 | Pago de Dividendos(SPY) | Inversion Estados Unidos Dolares
2021-06-01,iol_broker,-,interest,0.0,0.0,0.01,USD,1.0,0.01,0.0,MovimientosHistoricos (1).xls,Mov ID: 8654045 | Cr&#233;dito | Inversion Argentina Dolares
2021-06-01,iol_broker,-,interest,0.0,0.0,132.0,ARS,0.006579,0.87,0.0,MovimientosHistoricos (1).xls,Mov ID: 8586530 | Cr&#233;dito | Inversion Argentina Pesos
2021-07-01,iol_broker,-,interest,0.0,0.0,0.01,USD,1.0,0.01,0.0,MovimientosHistoricos (1).xls,Mov ID: 8944364 | Cr&#233;dito | Inversion Argentina Dolares
2021-07-01,iol_broker,-,interest,0.0,0.0,133.08,ARS,0.005714,0.76,0.0,MovimientosHistoricos (1).xls,Mov ID: 8930076 | Cr&#233;dito | Inversion Argentina Pesos
2021-07-26,iol_broker,AL30,buy,2444.0,6066.0,148253.04,ARS,0.005714,847.12,756.1,OperacionesFinalizadas (3).xls,Boleto: 3122095 | Mercado: BCBA | Bono Rep. Argentina Usd Step Up 2030
2021-07-26,iol_broker,-,deposit,0.0,0.0,150000.0,ARS,0.005714,857.1,0.0,MovimientosHistoricos (1).xls,Mov ID: 9123212 | Dep&#243;sito de Fondos - Transferencia electr&#243;nica - Banco Industrial | Inversion Argentina Pesos
2021-07-28,iol_broker,SPY,buy,2.0,439.57,879.14,USD,1.0,879.14,6.05,OperacionesFinalizadas (3).xls,Boleto: 135618 | Mercado: NYSE | Spdr Trust Series 1 Etf (Nyse)
2021-07-28,iol_broker,AL30C,sell,2444.0,35.3,862.73,USD,1.0,862.73,13.09,OperacionesFinalizadas (3).xls,Boleto: 3174098 | Mercado: BCBA | Bono Rep. Argentina Usd Step Up 2030
2021-08-01,iol_broker,-,interest,0.0,0.0,0.01,USD,1.0,0.01,0.0,MovimientosHistoricos (1).xls,Mov ID: 9335991 | Cr&#233;dito | Inversion Argentina Dolares
2021-08-01,iol_broker,-,interest,0.0,0.0,145.05,ARS,0.005714,0.83,0.0,MovimientosHistoricos (1).xls,Mov ID: 9290555 | Cr&#233;dito | Inversion Argentina Pesos
2021-08-02,iol_broker,-,interest,0.0,0.0,4.31,USD,1.0,4.31,0.0,MovimientosHistoricos (1).xls,Mov ID: 9350940 | Cr&#233;dito | Inversion Estados Unidos Dolares
2021-08-03,iol_broker,SPY,dividend,0.0,0.0,17.73,USD,1.0,17.73,0.16,MovimientosHistoricos (1).xls,Mov ID: 36065163 | Pago de Dividendos(SPY) | Inversion Estados Unidos Dolares
2021-09-01,iol_broker,-,interest,0.0,0.0,0.01,USD,1.0,0.01,0.0,MovimientosHistoricos (1).xls,Mov ID: 9701607 | Cr&#233;dito | Inversion Argentina Dolares
2021-09-01,iol_broker,-,interest,0.0,0.0,167.24,ARS,0.005714,0.96,0.0,MovimientosHistoricos (1).xls,Mov ID: 9594949 | Cr&#233;dito | Inversion Argentina Pesos
2021-10-01,iol_broker,-,interest,0.0,0.0,0.01,USD,1.0,0.01,0.0,MovimientosHistoricos (1).xls,Mov ID: 10107255 | Cr&#233;dito | Inversion Argentina Dolares
2021-10-01,iol_broker,-,interest,0.0,0.0,166.43,ARS,0.005714,0.95,0.0,MovimientosHistoricos (1).xls,Mov ID: 10044711 | Cr&#233;dito | Inversion Argentina Pesos
2021-11-01,iol_broker,-,interest,0.0,0.0,0.01,USD,1.0,0.01,0.0,MovimientosHistoricos (1).xls,Mov ID: 10460870 | Cr&#233;dito | Inversion Argentina Dolares
2021-11-01,iol_broker,-,interest,0.0,0.0,175.31,ARS,0.004878,0.86,0.0,MovimientosHistoricos (1).xls,Mov ID: 10302497 | Cr&#233;dito | Inversion Argentina Pesos
2021-11-02,iol_broker,SPY,dividend,0.0,0.0,21.25,USD,1.0,21.25,0.18,MovimientosHistoricos (1).xls,Mov ID: 38822294 | Pago de Dividendos(SPY) | Inversion Estados Unidos Dolares
2021-12-01,iol_broker,-,interest,0.0,0.0,0.01,USD,1.0,0.01,0.0,MovimientosHistoricos (1).xls,Mov ID: 10870992 | Cr&#233;dito | Inversion Argentina Dolares
2021-12-01,iol_broker,-,interest,0.0,0.0,168.36,ARS,0.004878,0.82,0.0,MovimientosHistoricos (1).xls,Mov ID: 10769097 | Cr&#233;dito | Inversion Argentina Pesos
2022-01-01,iol_broker,-,interest,0.0,0.0,0.01,USD,1.0,0.01,0.0,MovimientosHistoricos (1).xls,Mov ID: 11211454 | Cr&#233;dito | Inversion Argentina Dolares
2022-01-01,iol_broker,-,interest,0.0,0.0,177.61,ARS,0.004878,0.87,0.0,MovimientosHistoricos (1).xls,Mov ID: 11123324 | Cr&#233;dito | Inversion Argentina Pesos
2022-02-01,iol_broker,SPY,dividend,0.0,0.0,24.34,USD,1.0,24.34,0.21,MovimientosHistoricos (1).xls,Mov ID: 41248510 | Pago de Dividendos(SPY) | Inversion Estados Unidos Dolares
2022-02-01,iol_broker,-,interest,0.0,0.0,0.01,USD,1.0,0.01,0.0,MovimientosHistoricos (1).xls,Mov ID: 11591492 | Cr&#233;dito | Inversion Argentina Dolares
2022-02-01,iol_broker,-,interest,0.0,0.0,179.73,ARS,0.004762,0.86,0.0,MovimientosHistoricos (1).xls,Mov ID: 11530600 | Cr&#233;dito | Inversion Argentina Pesos
2022-03-01,iol_broker,-,interest,0.0,0.0,0.01,USD,1.0,0.01,0.0,MovimientosHistoricos (1).xls,Mov ID: 11919583 | Cr&#233;dito | Inversion Argentina Dolares
2022-03-01,iol_broker,-,interest,0.0,0.0,162.24,ARS,0.004762,0.77,0.0,MovimientosHistoricos (1).xls,Mov ID: 11748183 | Cr&#233;dito | Inversion Argentina Pesos
2022-04-01,iol_broker,-,interest,0.0,0.0,0.01,USD,1.0,0.01,0.0,MovimientosHistoricos (1).xls,Mov ID: 12327313 | Cr&#233;dito | Inversion Argentina Dolares
2022-04-01,iol_broker,-,interest,0.0,0.0,186.86,ARS,0.004762,0.89,0.0,MovimientosHistoricos (1).xls,Mov ID: 12130881 | Cr&#233;dito | Inversion Argentina Pesos
2022-05-01,iol_broker,-,interest,0.0,0.0,0.01,USD,1.0,0.01,0.0,MovimientosHistoricos (1).xls,Mov ID: 12683316 | Cr&#233;dito | Inversion Argentina Dolares
2022-05-01,iol_broker,-,interest,0.0,0.0,195.59,ARS,0.004651,0.91,0.0,MovimientosHistoricos (1).xls,Mov ID: 12642162 | Cr&#233;dito | Inversion Argentina Pesos
2022-05-02,iol_broker,SPY,dividend,0.0,0.0,20.33,USD,1.0,20.33,0.17,MovimientosHistoricos (1).xls,Mov ID: 43177531 | Pago de Dividendos(SPY) | Inversion Estados Unidos Dolares
2022-06-01,iol_broker,-,interest,0.0,0.0,0.01,USD,1.0,0.01,0.0,MovimientosHistoricos (1).xls,Mov ID: 13074781 | Cr&#233;dito | Inversion Argentina Dolares
2022-06-01,iol_broker,-,interest,0.0,0.0,224.13,ARS,0.004651,1.04,0.0,MovimientosHistoricos (1).xls,Mov ID: 12987274 | Cr&#233;dito | Inversion Argentina Pesos
2022-06-03,iol_broker,SPY,buy,24.0,4320.5,103692.0,ARS,0.004651,482.27,727.71,OperacionesFinalizadas (3).xls,Boleto: 1778123 | Mercado: BCBA | Cedear Spdr S&amp;P 500
2022-06-03,iol_broker,-,deposit,0.0,0.0,100000.0,ARS,0.004651,465.1,0.0,MovimientosHistoricos (1).xls,Mov ID: 13104239 | Dep&#243;sito de Fondos - Transferencia electr&#243;nica - Banco Industrial | Inversion Argentina Pesos
2022-07-01,iol_broker,-,interest,0.0,0.0,0.01,USD,1.0,0.01,0.0,MovimientosHistoricos (1).xls,Mov ID: 13463066 | Cr&#233;dito | Inversion Argentina Dolares
2022-07-01,iol_broker,-,interest,0.0,0.0,485.75,ARS,0.004651,2.26,0.0,MovimientosHistoricos (1).xls,Mov ID: 13371866 | Cr&#233;dito | Inversion Argentina Pesos
2022-07-06,iol_broker,-,deposit,0.0,0.0,150000.0,ARS,0.004651,697.65,0.0,MovimientosHistoricos (1).xls,Mov ID: 13538062 | Dep&#243;sito de Fondos - Transferencia electr&#243;nica - Banco Industrial | Inversion Argentina Pesos
2022-07-07,iol_broker,XLE,buy,1.0,9550.5,9550.5,ARS,0.004651,44.42,67.02,OperacionesFinalizadas (3).xls,Boleto: 2157082 | Mercado: BCBA | Cedear Energy Select Sector Sp
2022-07-12,iol_broker,SPY,buy,20.0,5744.5,114890.0,ARS,0.004651,534.35,806.29,OperacionesFinalizadas (3).xls,Boleto: 2240834 | Mercado: BCBA | Cedear Spdr S&amp;P 500
2022-07-13,iol_broker,XLE,buy,14.0,10168.5,142359.0,ARS,0.004651,662.11,999.09,OperacionesFinalizadas (3).xls,Boleto: 2262626 | Mercado: BCBA | Cedear Energy Select Sector Sp
2022-07-13,iol_broker,-,deposit,0.0,0.0,150000.0,ARS,0.004651,697.65,0.0,MovimientosHistoricos (1).xls,Mov ID: 13581056 | Dep&#243;sito de Fondos - Transferencia electr&#243;nica - Banco Industrial | Inversion Argentina Pesos
2022-08-01,iol_broker,SPY,fee,0.0,0.0,8.39,ARS,0.00339,0.03,8.39,MovimientosHistoricos (1).xls,Mov ID: 45338455 | Pago de Dividendos(SPY) | Inversion Argentina Pesos | Retención impositiva / deducción dividendo
2022-08-01,iol_broker,SPY,dividend,0.0,0.0,1.32,USD,1.0,1.32,0.0,MovimientosHistoricos (1).xls,Mov ID: 45338454 | Pago de Dividendos(SPY US$) | Inversion Argentina Dolares
2022-08-01,iol_broker,SPY,dividend,0.0,0.0,23.45,USD,1.0,23.45,0.21,MovimientosHistoricos (1).xls,Mov ID: 45327716 | Pago de Dividendos(SPY) | Inversion Estados Unidos Dolares
2022-08-01,iol_broker,-,interest,0.0,0.0,0.01,USD,1.0,0.01,0.0,MovimientosHistoricos (1).xls,Mov ID: 13931305 | Cr&#233;dito | Inversion Argentina Dolares
2022-08-01,iol_broker,-,interest,0.0,0.0,1855.96,ARS,0.00339,6.29,0.0,MovimientosHistoricos (1).xls,Mov ID: 13876703 | Cr&#233;dito | Inversion Argentina Pesos
2022-08-08,iol_broker,SPY,buy,25.0,5775.0,144375.0,ARS,0.00339,489.43,1013.23,OperacionesFinalizadas (3).xls,Boleto: 2746721 | Mercado: BCBA | Cedear Spdr S&amp;P 500
2022-08-08,iol_broker,-,deposit,0.0,0.0,150000.0,ARS,0.00339,508.5,0.0,MovimientosHistoricos (1).xls,Mov ID: 14027291 | Dep&#243;sito de Fondos - Transferencia electr&#243;nica - Banco Industrial | Inversion Argentina Pesos
2022-09-01,iol_broker,-,interest,0.0,0.0,0.01,USD,1.0,0.01,0.0,MovimientosHistoricos (1).xls,Mov ID: 14384857 | Cr&#233;dito | Inversion Argentina Dolares
2022-09-01,iol_broker,-,interest,0.0,0.0,1558.73,ARS,0.003448,5.37,0.0,MovimientosHistoricos (1).xls,Mov ID: 14338252 | Cr&#233;dito | Inversion Argentina Pesos
2022-09-05,iol_broker,SPY,buy,29.0,5664.0,164256.0,ARS,0.003448,566.35,1152.75,OperacionesFinalizadas (3).xls,Boleto: 3148844 | Mercado: BCBA | Cedear Spdr S&amp;P 500
2022-09-05,iol_broker,-,deposit,0.0,0.0,150000.0,ARS,0.003448,517.2,0.0,MovimientosHistoricos (1).xls,Mov ID: 14438531 | Dep&#243;sito de Fondos - Transferencia electr&#243;nica - Banco Industrial | Inversion Argentina Pesos
2022-09-23,iol_broker,XLE,fee,0.0,0.0,31.19,ARS,0.003279,0.1,31.19,MovimientosHistoricos (1).xls,Mov ID: 46740847 | Pago de Dividendos(XLE) | Inversion Argentina Pesos | Retención impositiva / deducción dividendo
2022-09-23,iol_broker,XLE,dividend,0.0,0.0,4.44,USD,1.0,4.44,0.0,MovimientosHistoricos (1).xls,Mov ID: 46740846 | Pago de Dividendos(XLE US$) | Inversion Argentina Dolares
2022-10-01,iol_broker,-,interest,0.0,0.0,0.01,USD,1.0,0.01,0.0,MovimientosHistoricos (1).xls,Mov ID: 14850822 | Cr&#233;dito | Inversion Argentina Dolares
2022-10-01,iol_broker,-,interest,0.0,0.0,1390.18,ARS,0.003279,4.56,0.0,MovimientosHistoricos (1).xls,Mov ID: 14754594 | Cr&#233;dito | Inversion Argentina Pesos
2022-10-04,iol_broker,AAPL,buy,33.0,4496.33,148379.0,ARS,0.003279,486.53,1041.33,OperacionesFinalizadas (3).xls,Boleto: 3602043 | Mercado: BCBA | Cedear Apple Inc.
2022-10-04,iol_broker,-,deposit,0.0,0.0,150000.0,ARS,0.003279,491.85,0.0,MovimientosHistoricos (1).xls,Mov ID: 14877275 | Dep&#243;sito de Fondos - Transferencia electr&#243;nica - Banco Industrial | Inversion Argentina Pesos
2022-11-01,iol_broker,SPY,buy,25.0,5881.5,147037.5,ARS,0.003226,474.34,1031.91,OperacionesFinalizadas (3).xls,Boleto: 3978723 | Mercado: BCBA | Cedear Spdr S&amp;P 500
2022-11-01,iol_broker,SPY,dividend,0.0,0.0,23.74,USD,1.0,23.74,0.21,MovimientosHistoricos (1).xls,Mov ID: 47539551 | Pago de Dividendos(SPY) | Inversion Estados Unidos Dolares
2022-11-01,iol_broker,-,deposit,0.0,0.0,150000.0,ARS,0.003226,483.9,0.0,MovimientosHistoricos (1).xls,Mov ID: 15287359 | Dep&#243;sito de Fondos - Transferencia electr&#243;nica - Banco Industrial | Inversion Argentina Pesos
2022-11-01,iol_broker,-,interest,0.0,0.0,0.01,USD,1.0,0.01,0.0,MovimientosHistoricos (1).xls,Mov ID: 15276127 | Cr&#233;dito | Inversion Argentina Dolares
2022-11-01,iol_broker,-,interest,0.0,0.0,1145.71,ARS,0.003226,3.7,0.0,MovimientosHistoricos (1).xls,Mov ID: 15148059 | Cr&#233;dito | Inversion Argentina Pesos
2022-11-03,iol_broker,SPY,fee,0.0,0.0,41.54,ARS,0.003226,0.13,41.54,MovimientosHistoricos (1).xls,Mov ID: 47620382 | Pago de Dividendos(SPY) | Inversion Argentina Pesos | Retención impositiva / deducción dividendo
2022-11-03,iol_broker,SPY,dividend,0.0,0.0,5.47,USD,1.0,5.47,0.0,MovimientosHistoricos (1).xls,Mov ID: 47620381 | Pago de Dividendos(SPY US$) | Inversion Argentina Dolares
2022-11-14,iol_broker,AAPL,fee,0.0,0.0,0.99,ARS,0.003226,0.0,0.99,MovimientosHistoricos (1).xls,Mov ID: 47857321 | Pago de Dividendos(AAPL) | Inversion Argentina Pesos | Retención impositiva / deducción dividendo
2022-11-14,iol_broker,AAPL,dividend,0.0,0.0,0.49,USD,1.0,0.49,0.0,MovimientosHistoricos (1).xls,Mov ID: 47857320 | Pago de Dividendos(AAPL US$) | Inversion Argentina Dolares
2022-12-01,iol_broker,-,interest,0.0,0.0,0.01,USD,1.0,0.01,0.0,MovimientosHistoricos (1).xls,Mov ID: 15718645 | Cr&#233;dito | Inversion Argentina Dolares
2022-12-01,iol_broker,-,interest,0.0,0.0,1597.81,ARS,0.003125,4.99,0.0,MovimientosHistoricos (1).xls,Mov ID: 15568888 | Cr&#233;dito | Inversion Argentina Pesos
2022-12-23,iol_broker,XLE,fee,0.0,0.0,38.1,ARS,0.002899,0.11,38.1,MovimientosHistoricos (1).xls,Mov ID: 48846199 | Pago de Dividendos(XLE) | Inversion Argentina Pesos | Retención impositiva / deducción dividendo
2022-12-23,iol_broker,XLE,dividend,0.0,0.0,4.51,USD,1.0,4.51,0.0,MovimientosHistoricos (1).xls,Mov ID: 48846198 | Pago de Dividendos(XLE US$) | Inversion Argentina Dolares
2023-01-01,iol_broker,-,interest,0.0,0.0,0.01,USD,1.0,0.01,0.0,MovimientosHistoricos (1).xls,Mov ID: 16192845 | Cr&#233;dito | Inversion Argentina Dolares
2023-01-01,iol_broker,-,interest,0.0,0.0,1338.83,ARS,0.002899,3.88,0.0,MovimientosHistoricos (1).xls,Mov ID: 16092804 | Cr&#233;dito | Inversion Argentina Pesos
2023-02-01,iol_broker,SPY,dividend,0.0,0.0,7.66,USD,1.0,7.66,0.0,MovimientosHistoricos (1).xls,Mov ID: 50301024 | Pago de Dividendos(SPY US$) | Inversion Argentina Dolares
2023-02-01,iol_broker,SPY,fee,0.0,0.0,69.33,ARS,0.00274,0.19,69.33,MovimientosHistoricos (1).xls,Mov ID: 50301025 | Pago de Dividendos(SPY) | Inversion Argentina Pesos | Retención impositiva / deducción dividendo
2023-02-01,iol_broker,SPY,dividend,0.0,0.0,26.49,USD,1.0,26.49,0.23,MovimientosHistoricos (1).xls,Mov ID: 50297388 | Pago de Dividendos(SPY) | Inversion Estados Unidos Dolares
